,Unnamed: 0,school name,school hour,street,area,location
0,0,"Adams, Samuel Elementary",7:30 a.m. - 2:10 p.m.,165 Webster St.,"East Boston, MA 02128","(42.3695431, -71.0200613)"
1,1,"Alighieri, Dante Montessori School",7:30 a.m. - 2:10 p.m.,37 Gove Street,"East Boston, MA 02128","(42.3695431, -71.0200613)"
2,2,Another Course to College,8:00 a.m. - 2:30 p.m.,612 Metropolitan Ave,"Hyde Park, MA 02136","(42.2527785, -71.1299976)"
3,3,Baldwin Early Learning Pilot Academy,7:30 a.m. - 4:30 p.m.,121 Corey Rd.,"Brighton, MA 02135","(42.3463503, -71.1626756)"
4,4,"Bates, Phineas Elementary",9:30 a.m. - 4:10 p.m.,426 Beech St.,"Roslindale, MA 02131","(42.2832142, -71.1270268)"
5,5,"Beethoven, Ludwig van Elementary",8:30 a.m. - 3:10 p.m.,5125 Washington St.,"West Roxbury, MA 02132","(42.2797554, -71.1626756)"
6,6,Blackstone Elementary School,8:25 a.m. - 3:05 p.m.,380 Shawmut Ave.,"Boston, MA 02118","(42.3377967, -71.0705763)"
7,7,Boston Adult Technical Academy,9:00 a.m. - 3:20 p.m.,20 Church St.,"Boston, MA 02116","(42.353068, -71.0765188)"
8,8,Boston Arts Academy,8:00 a.m. - 3:55 p.m.,11 Charles Street,"Dorchester, MA 02122","(42.29671460000001, -71.0527482)"
9,9,Boston Collaborative High School,8:00 a.m. - 3:00 p.m.,215 Dorchester St.,"South Boston, MA 02127","(42.3364553, -71.0349193)"
10,10,Boston Community Leadership Academy,7:55 a.m. - 2:25 p.m.,655 Metropolitan Ave.,"Hyde Park, MA 02136","(42.2527785, -71.1299976)"
11,11,Boston Day & Evening Academy,9:00 a.m. - 3:30 p.m.,20 Kearsarge Ave.,"Roxbury, MA 02119","(42.32182359999999, -71.08840359999999)"
12,12,Boston Green Academy,8:00 a.m. - 3:00 p.m.,20 Warren St.,"Brighton, MA 02135","(42.3463503, -71.1626756)"
13,13,Boston International Newcomers Academy,8:00 a.m. - 2:30 p.m.,100 Maxwell St.,"Dorchester, MA 02124","(42.2826027, -71.067605)"
14,14,Boston Latin Academy,7:20 a.m. - 1:40 p.m.,205 Townsend St.,"Dorchester, MA 02121","(42.3065441, -71.08246129999999)"
15,15,Boston Latin School,7:45 a.m. - 2:15 p.m.,78 Ave. Louis Pasteur,"Boston, MA 02115","(42.339904, -71.0898892)"
16,16,Boston Teachers Union K-8 School,8:30 a.m. - 3:00 p.m.,25 Walk Hill St.,"Jamaica Plain, MA 02130","(42.3097365, -71.1151431)"
17,17,"Bradley, Manassah E. Elementary",9:30 a.m. - 4:10 p.m.,110 Beachview Rd.,"East Boston, MA 02128","(42.3695431, -71.0200613)"
18,18,Brighton High School,7:30 a.m. - 2:25 p.m.,25 Warren St.,"Brighton, MA 02135","(42.3463503, -71.1626756)"
19,19,"Burke, Jeremiah E. High School",7:50 a.m. - 2:35 p.m.,60 Washington St.,"Dorchester, MA 02121","(42.3065441, -71.08246129999999)"
20,20,"Carter School, The",9:30 a.m. - 3:30 p.m.,396 Northampton St.,"Boston, MA 02118","(42.3377967, -71.0705763)"
21,21,"Channing, William E. Elementary",8:30 a.m. - 3:00 p.m.,35 Sunnyside St.,"Hyde Park, MA 02136","(42.2527785, -71.1299976)"
22,22,Charlestown High School,7:30 a.m. - 1:50 p.m.,240 Medford St.,"Charlestown, MA 02129","(42.37954089999999, -71.0646337)"
23,23,"Chittick, James J. Elementary",8:30 a.m. - 3:10 p.m.,154 Ruskindale Rd.,"Hyde Park, MA 02136","(42.2527785, -71.1299976)"
24,24,Clap Elementary School,9:30 a.m. - 4:10 p.m.,35 Harvest St.,"Dorchester, MA 02125","(42.3157363, -71.0527482)"
25,25,Community Academy,7:45 a.m. - 2:25 p.m.,25 Glen Rd.,"Ja.m.aica Plain, MA 02130","(42.3097365, -71.1151431)"
26,26,Community Academy of Science & Health,7:30 a.m. - 1:50 p.m.,11 Charles St.,"Dorchester, MA 02122","(42.29671460000001, -71.0527482)"
27,27,"Condon, James F. K-8",8:30 a.m. - 3:10 p.m.,200 D St.,"South Boston, MA 02127","(42.3364553, -71.0349193)"
28,28,"Conley, George H. Elementary",8:30 a.m. - 3:10 p.m.,450 Poplar St.,"Roslindale, MA 02131","(42.2832142, -71.1270268)"
29,29,Curley K-8,8:30 a.m. - 3:10 p.m.,40 Pershing Rd.,"Jamaica Plain, MA 02130","(42.3097365, -71.1151431)"
30,30,"Dearborn, Henry STEM Academy",7:30 a.m. - 3:00 p.m.,36 Winthrop Street,"Roxbury, MA 02119","(42.32182359999999, -71.08840359999999)"
31,31,"Dever, Paul A. Elementary",7:30 a.m. - 3:30 p.m.,325 Mt. Vernon St.,"Dorchester, MA 02125","(42.3157363, -71.0527482)"
32,32,Dudley Street Neighborhood Charter School,8:15 a.m. - 4:15 p.m.,6 Shirley St.,"Roxbury, MA 02119","(42.32182359999999, -71.08840359999999)"
33,33,East Boston Early Education Center,7:30 a.m. - 4:30 p.m.,135 Gove St.,"East Boston, MA 02128","(42.3695431, -71.0200613)"
34,34,East Boston High School,7:30 a.m. - 1:50 p.m.,86 White St.,"East Boston, MA 02128","(42.3695431, -71.0200613)"
35,35,"Edison, Thomas A. K-8",8:30 a.m. - 3:10 p.m.,60 Glenmont Rd.,"Brighton, MA 02135","(42.3463503, -71.1626756)"
36,36,"Edwards, Clarence R. Middle",7:15 a.m. - 2:05 p.m.,28 Walker St.,"Charlestown, MA 02129","(42.37954089999999, -71.0646337)"
37,37,"Eliot, John K-8",8:30 a.m. - 3:10 p.m.,(K0-1) 16 Charter St. (2-4) 173 Salem St. (5-8) 585 Commercial St.,"Boston, MA 02113","(42.3654231, -71.05497679999999)"
38,38,"Ellis, David A. Elementary",9:30 a.m. - 4:10 p.m.,302 Walnut Ave.,"Roxbury, MA 02119","(42.32182359999999, -71.08840359999999)"
39,39,Ellison/Parks Early Education School,7:30 a.m. - 4:30 p.m.,108 Babson St.,"Mattapan, MA 02126","(42.2771417, -71.0913748)"
40,40,English High School,7:20 a.m. - 2:20 p.m.,144 McBride St.,"Ja.m.aica Plain, MA 02130","(42.3097365, -71.1151431)"
41,41,"Everett, Edward Elementary",9:30 a.m. - 4:10 p.m.,71 Pleasant St.,"Dorchester, MA 02125","(42.3157363, -71.0527482)"
42,42,Excel High School,7:25 a.m. - 2:10 p.m.,95 G St.,"South Boston, MA 02127","(42.3364553, -71.0349193)"
43,43,Fenway High School,8:45 a.m. - 3:35 p.m.,67 Alleghany St.,"Roxbury, MA 02120","(42.33191670000001, -71.09880249999999)"
44,44,"Frederick, Lilla G. Middle",9:30 a.m. - 3:40 p.m.,270 Columbia Rd.,"Dorchester, MA 02121","(42.3065441, -71.08246129999999)"
45,45,Gardner Pilot Academy,8:30 a.m. - 2:30 p.m.,30 Athol St.,"Allston, MA 02134","(42.3593008, -71.1270268)"
46,46,Greater Egleston High School,9:00 a.m. - 3:00 p.m.,80 School St.,"Roxbury, MA 02119","(42.32182359999999, -71.08840359999999)"
47,47,"Greenwood, Sarah K-8",8:30 a.m. - 3:10 p.m.,189 Glenway St.,"Dorchester, MA 02121","(42.3065441, -71.08246129999999)"
48,48,"Grew, Henry Elementary",8:30 a.m. - 3:00 p.m.,40 Gordon Ave.,"Hyde Park, MA 02136","(42.2527785, -71.1299976)"
49,49,"Guild, Curtis Elementary",8:30 a.m. - 3:10 p.m.,195 Leyden St.,"East Boston, MA 02128","(42.3695431, -71.0200613)"
50,50,"Hale, Nathan Elementary",8:30 a.m. - 3:10 p.m.,51 Cedar St.,"Roxbury, MA 02119","(42.32182359999999, -71.08840359999999)"
51,51,"Haley, Dennis K-8",8:30 a.m. - 2:30 p.m.,570 a.m.erican Legion Hwy.,"Roslindale, MA 02131","(42.2832142, -71.1270268)"
52,52,Harvard/Kent Elementary,9:30 a.m. - 4:10 p.m.,50 Bunker Hill St.,"Charlestown, MA 02129","(42.37954089999999, -71.0646337)"
53,53,Haynes Early Education Center,7:30 a.m. - 4:35 p.m.,263 Blue Hill Ave.,"Roxbury, MA 02119","(42.32182359999999, -71.08840359999999)"
54,54,"Henderson, Dr. William W. K-12 Inclusion School",8:30 a.m. - 2:30 p.m.,"Lower School (K0- Grade 2)1669 Dorchester Ave., Upper School (grades 3-12)18 Croftland Ave.","Dorchester, MA 02124","(42.2826027, -71.067605)"
55,55,"Hennigan, James W. K-8",9:30 a.m. - 4:10 p.m.,200 Heath St.,"Ja.m.aica Plain, MA 02130","(42.3097365, -71.1151431)"
56,56,"Hernandez, Rafael K-8",8:30 a.m. - 3:10 p.m.,61 School St.,"Roxbury, MA 02119","(42.32182359999999, -71.08840359999999)"
57,57,Higginson K0-2,9:30 a.m. - 4:10 p.m.,160 Harrishof St.,"Roxbury, MA 02119","(42.32182359999999, -71.08840359999999)"
58,58,Higginson-Lewis,9:30 a.m. - 4:10 p.m.,131 Walnut Ave.,"Roxbury, MA 02119","(42.32182359999999, -71.08840359999999)"
59,59,"Holmes, Oliver Wendell Innovation",9:30 a.m. - 4:10 p.m.,40 School St.,"Dorchester, MA 02124","(42.2826027, -71.067605)"
60,60,Horace Mann School for the Deaf and Hard of Hearing,7:20 a.m. - 2:10 p.m.,40 Armington St.,"Allston, MA 02134","(42.3593008, -71.1270268)"
61,61,"Hurley, Joseph K-8",8:30 a.m. - 3:10 p.m.,70 Worcester St.,"Boston, MA 02118","(42.3377967, -71.0705763)"
62,62,"Irving, Washington Middle",7:15 a.m. - 2:05 p.m.,105 Cummins Highway,"Roslindale, MA 02131","(42.2832142, -71.1270268)"
63,63,Jackson/Mann K-8,7:15 a.m. - 1:55 p.m.,40 Armington St.,"Allston, MA 02134","(42.3593008, -71.1270268)"
64,64,"Kennedy, Edward M. Academy for Health Careers",7:30 a.m. - 2:30 p.m.,110 The Fenway,"Boston, MA 02115","(42.339904, -71.0898892)"
65,65,"Kennedy, Edward M. Academy for Health Careers",8:00 a.m. - 3:00 p.m.,10 Fenwood Rd.,"Boston, MA 02115","(42.339904, -71.0898892)"
66,66,"Kennedy, John F. Elementary",8:30 a.m. - 3:10 p.m.,7 Bolster St.,"Jamaica Plain, MA 02130","(42.3097365, -71.1151431)"
67,67,"Kennedy, Patrick Elementary",8:30 a.m. - 3:10 p.m.,343 Saratoga St.,"East Boston, MA 02128","(42.3695431, -71.0200613)"
68,68,"Kenny, Thomas J. Elementary",9:30 a.m. - 4:10 p.m.,19 Oakton Ave.,"Dorchester, MA 02122","(42.29671460000001, -71.0527482)"
69,69,"Kilmer, Joyce K-8",9:30 a.m. - 4:10 p.m.,Lower School (K1-grade 3): 35 Baker St.Upper School (grades 4-8): 140 Russett Rd.,"West Roxbury, MA 02132","(42.2797554, -71.1626756)"
70,70,"King, Martin Luther, Jr. K-8",8:30 a.m. - 3:00 p.m.,77 Lawrence Ave.,"Dorchester, MA 02121","(42.3065441, -71.08246129999999)"
71,71,Lee Academy Pilot School,9:30 a.m. - 3:30 p.m.,25 Dunbar Ave.,"Dorchester, MA 02124","(42.2826027, -71.067605)"
72,72,"Lee, Joseph K-8",7:30 a.m. - 2:10 p.m.,155 Talbot Ave.,"Dorchester, MA 02124","(42.2826027, -71.067605)"
73,73,"Lyndon, Patrick K-8",9:30 a.m. - 3:30 p.m.,20 Mt. Vernon St.,"West Roxbury, MA 02132","(42.2797554, -71.1626756)"
74,74,"Lyon, Mary K-8",9:30 a.m. - 4:10 p.m.,K-grade 6: 50 Beechcroft St.Grades 7-8: 95 Beechcroft St.,"Brighton, MA 02135","(42.3463503, -71.1626756)"
75,75,"Lyon, Mary High School",8:30 a.m. - 3:30 p.m.,95 Beechcroft St.,"Brighton, MA 02135","(42.3463503, -71.1626756)"
76,76,Madison Park Technical Vocational High School,7:30 a.m. - 2:35 p.m.,75 Malcolm X Blvd.,"Roxbury, MA 02120","(42.33191670000001, -71.09880249999999)"
77,77,"Manning, Joseph P. Elementary",9:30 a.m. - 4:10 p.m.,130 Louders Lane,"Jamaica Plain, MA 02130","(42.3097365, -71.1151431)"
78,78,"Mason, Samuel Elementary",8:20 a.m. - 2:20 p.m.,150 Norfolk Ave.,"Roxbury, MA 02119","(42.32182359999999, -71.08840359999999)"
79,79,Mather Elementary,9:30 a.m. - 4:10 p.m.,24 Parish St.,"Dorchester, MA 02122","(42.29671460000001, -71.0527482)"
80,80,Mattahunt Elementary School,7:30 a.m. - 4:00 p.m.,100 Hebron Street,"Mattapan, MA 02126","(42.2771417, -71.0913748)"
81,81,"McCormack, John W. Middle",7:30 a.m. - 2:20 p.m.,315 Mt. Vernon St.,"Dorchester, MA 02125","(42.3157363, -71.0527482)"
82,82,"McKay, Donald K-8",8:30 a.m. - 3:10 p.m.,122 Cottage St.,"East Boston, MA 02128","(42.3695431, -71.0200613)"
83,83,"McKinley, Willam South End Academy",7:20 a.m. - 1:40 p.m.,90 Warren Ave.,"Boston, MA 02116","(42.353068, -71.0765188)"
84,84,"McKinley, William Elementary",9:30 a.m. - 3:30 p.m.,90 Warren Ave.,"Boston, MA 02116","(42.353068, -71.0765188)"
85,85,"McKinley, William Middle",9:30 a.m. - 3:40 p.m.,50 St. Mary St.,"Boston, MA 02215","(42.3476181, -71.1002881)"
86,86,"McKinley, William Preparatory High School",7:20 a.m. - 1:40 p.m.,97 Peterborough St.,"Boston, MA 02215","(42.3476181, -71.1002881)"
87,87,"Mendell, Ellis Elementary",9:30 a.m. - 4:10 p.m.,164 School St.,"Roxbury, MA 02119","(42.32182359999999, -71.08840359999999)"
88,88,Mildred Avenue K-8,7:30 a.m. - 2:00 p.m.,5 Mildred Ave.,"Mattapan, MA 02126","(42.2771417, -71.0913748)"
89,89,Mission Hill K-8,9:30 a.m. - 3:30 p.m.,20 Child St.,"Jamaica Plain, MA 02130","(42.3097365, -71.1151431)"
90,90,"Mozart, Wolfgang A. Elementary",9:30 a.m. - 4:10 p.m.,236 Beech St,"Roslindale, MA 02131","(42.2832142, -71.1270268)"
91,91,"Muniz, Margarita Academy",8:30 a.m. - 3:30 p.m.,20 Child St.,"Jamaica Plain, MA 02130","(42.3097365, -71.1151431)"
92,92,"Murphy, Richard J. K-8",8:30 a.m. - 3:10 p.m.,1 Worrell St.,"Dorchester, MA 02122","(42.29671460000001, -71.0527482)"
93,93,New Mission High School,7:45 a.m. - 2:30 p.m.,655 Metropolitan Ave.,"Hyde Park, MA 02136","(42.2527785, -71.1299976)"
94,94,"O'Bryant, John D. School of Mathematics & Science",7:20 a.m. - 1:45 p.m.,55 Malcolm X Blvd.,"Roxbury, MA 02120","(42.33191670000001, -71.09880249999999)"
95,95,"O'Donnell, Hugh R. Elementary",9:30 a.m. - 4:10 p.m.,33 Trenton St.,"East Boston, MA 02128","(42.3695431, -71.0200613)"
96,96,"Ohrenberger, William School",8:30 a.m. - 3:10 p.m.,175 West Boundary Rd.,"West Roxbury, MA 02132","(42.2797554, -71.1626756)"
97,97,Orchard Gardens K-8,7:25 a.m. - 2:25 p.m.,906 Albany St.,"Roxbury, MA 02119","(42.32182359999999, -71.08840359999999)"
98,98,"Otis, James Elementary",8:20 a.m. - 3:00 p.m.,218 Marion St.,"East Boston, MA 02128","(42.3695431, -71.0200613)"
99,99,"Perkins, Michael J. Elementary",8:30 a.m. - 3:10 p.m.,50 Rev. Burke St.,"South Boston, MA 02127","(42.3364553, -71.0349193)"
100,100,"Perry, Oliver Hazard K-8",9:30 a.m. - 4:10 p.m.,745 E. Seventh St.,"South Boston, MA 02127","(42.3364553, -71.0349193)"
101,101,"Philbrick, John D. Elementary",9:30 a.m. - 4:10 p.m.,40 Philbrick St.,"Roslindale, MA 02131","(42.2832142, -71.1270268)"
102,102,"Quincy, Josiah Elementary",9:30 a.m. - 4:10 p.m.,885 Washington St.,"Boston, MA 02111","(42.3514653, -71.0601767)"
103,103,"Quincy, Josiah Upper School",7:50 a.m. - 3:40 p.m.,152 Arlington St.,"Boston, MA 02116","(42.353068, -71.0765188)"
104,104,"Roosevelt, Franklin D. K-8",8:30 a.m. - 3:10 p.m.,95 Needha.m. Rd.,"Hyde Park, MA 02136","(42.2527785, -71.1299976)"
105,105,"Russell, William E. Elementary",8:30 a.m. - 3:10 p.m.,750 Columbia Rd.,"Dorchester, MA 02125","(42.3157363, -71.0527482)"
106,106,"Shaw, Pauline A. Elementary",9:30 a.m. - 4:10 p.m.,429 Norfolk St.,"Dorchester, MA 02124","(42.2826027, -71.067605)"
107,107,Snowden International School at Copley,7:40 a.m. - 2:15 p.m.,150 Newbury St.,"Boston, MA 02116","(42.353068, -71.0765188)"
108,108,"Sumner, Charles Elementary",9:30 a.m. - 4:10 p.m.,15 Basile St.,"Roslindale, MA 02131","(42.2832142, -71.1270268)"
109,109,"Taylor, Charles H. Elementary",9:30 a.m. - 4:10 p.m.,1060 Morton St.,"Mattapan, MA 02126","(42.2771417, -71.0913748)"
110,110,TechBoston Academy,7:30 a.m. - 2:30 p.m.,9 Peacevale Rd.,"Dorchester, MA 02124","(42.2826027, -71.067605)"
111,111,"Timilty, James P. Middle",7:30 a.m. - 3:10 p.m.,205 Roxbury St.,"Roxbury, MA 02119","(42.32182359999999, -71.08840359999999)"
112,112,"Tobin, Maurice K-8",9:30 a.m. - 4:10 p.m.,40 Smith St.,"Roxbury, MA 02120","(42.33191670000001, -71.09880249999999)"
113,113,"Trotter, William Monroe K-8",7:30 a.m. - 2:00 p.m.,135 Humboldt Ave.,"Dorchester, MA 02121","(42.3065441, -71.08246129999999)"
114,114,"Tynan, Joseph P. Elementary",8:30 a.m. - 3:10 p.m.,650 E. Fourth St.,"South Boston, MA 02127","(42.3364553, -71.0349193)"
115,115,"Umana, Mario Academy",7:20 a.m. - 2:00 p.m.,312 Border St.,"East Boston, MA 02128","(42.3695431, -71.0200613)"
116,116,UP Academy Boston,7:15 a.m. - 3:00 p.m.,215 Dorchester St.,"South Boston, MA 02127","(42.3364553, -71.0349193)"
117,117,UP Academy Dorchester,7:30 a.m. - 3:30 p.m.,35 Westville St.,"Dorchester, MA 02124","(42.2826027, -71.067605)"
118,118,UP Academy Holland,7:30 a.m. - 3:30 p.m.,85 Olney St.,"Dorchester, MA 02121","(42.3065441, -71.08246129999999)"
119,119,Urban Science Academy,7:20 a.m. - 1:40 p.m.,60 Hawthorne Street,"Roslindale, MA 02131","(42.2832142, -71.1270268)"
120,120,Warren/Prescott K-8,8:30 a.m. - 3:10 p.m.,50 School St.,"Charlestown, MA 02129","(42.37954089999999, -71.0646337)"
121,121,West Roxbury Academy,7:20 a.m. - 1:40 p.m.,60 Hawthorne Street,"Roslindale, MA 02131","(42.2832142, -71.1270268)"
122,122,West Zone Early Learning Center,7:30 a.m. - 4:35 p.m.,200 Heath St.,"Jamaica Plain, MA 02130","(42.3097365, -71.1151431)"
123,123,"Winship, F. Lyman Elementary",9:30 a.m. - 4:10 p.m.,54 Dighton St.,"Brighton, MA 02135","(42.3463503, -71.1626756)"
124,124,"Winthrop, John Elementary",8:30 a.m. - 3:00 p.m.,35 Brookford St.,"Dorchester, MA 02125","(42.3157363, -71.0527482)"
125,125,Young Achievers Science & Math K-8,8:30 a.m. - 4:15 p.m.,20 Outlook Rd.,"Mattapan, MA 02126","(42.2771417, -71.0913748)"
