,logtime,latitude,longitude,heading,speed,vendorhardwareid
0,2018-02-07 00:23:48,42.33514,-71.080391,0,1,MS122
1,2018-02-07 03:14:00,42.333240999999994,-71.080276,193,0,MS114
2,2018-02-07 03:14:14,42.333221,-71.079063,0,0,MS158
3,2018-02-07 03:14:28,42.333248,-71.080269,16,3,MS114
4,2018-02-07 03:14:30,42.333248,-71.080261,22,0,MS114
5,2018-02-07 03:14:30,42.333321000000005,-71.078827,266,0,MS132
6,2018-02-07 03:14:48,42.332878,-71.079887,344,13,MS127
7,2018-02-07 03:14:51,42.333221,-71.079063,0,3,MS158
8,2018-02-07 03:14:55,42.33321,-71.078743,34,3,MS132
9,2018-02-07 03:14:59,42.33321,-71.079041,0,0,MS134
10,2018-02-07 03:15:04,42.333199,-71.080147,346,0,MS127
11,2018-02-07 03:15:10,42.333199,-71.080147,346,3,MS127
12,2018-02-07 03:15:13,42.333832,-71.079437,315,15,MS132
13,2018-02-07 03:15:15,42.333199,-71.080147,346,0,MS127
14,2018-02-07 03:15:28,42.334122,-71.079849,282,0,MS132
15,2018-02-07 03:15:30,42.33408,-71.079788,305,2,MS125
16,2018-02-07 03:15:31,42.334109999999995,-71.079941,244,9,MS132
17,2018-02-07 03:15:34,42.333221,-71.079033,196,3,MS134
18,2018-02-07 03:15:09,42.334068,-71.079819,310,3,MS158
19,2018-02-07 03:15:27,42.333511,-71.08042900000001,132,6,MS158
20,2018-02-07 03:15:44,42.333141,-71.080513,129,0,MS158
21,2018-02-07 03:15:46,42.333118,-71.08048199999999,127,3,MS158
22,2018-02-07 03:15:48,42.33358,-71.08049,148,6,MS125
23,2018-02-07 03:15:49,42.333469,-71.080338,156,4,MS132
24,2018-02-07 03:15:52,42.33271,-71.07965899999999,237,9,MS134
25,2018-02-07 03:15:59,42.333408,-71.080338,179,0,MS125
26,2018-02-07 03:16:01,42.333271,-71.080276,138,0,MS132
27,2018-02-07 03:16:05,42.332958000000005,-71.080147,43,0,MS158
28,2018-02-07 03:16:06,42.33287,-71.079948,302,0,MS134
29,2018-02-07 03:16:09,42.333271,-71.080269,138,3,MS132
30,2018-02-07 03:16:09,42.333389000000004,-71.08033,170,3,MS125
31,2018-02-07 03:16:23,42.33337,-71.080322,165,0,MS125
32,2018-02-07 03:16:29,42.333271,-71.080269,138,0,MS132
33,2018-02-07 03:18:04,42.33287,-71.079948,302,0,MS134
34,2018-02-07 03:18:18,42.33297,-71.080063,34,0,MS133
35,2018-02-07 03:18:48,42.333248,-71.080299,94,0,MS121
36,2018-02-07 03:20:00,42.333038,-71.079521,0,0,MS168
37,2018-02-07 03:19:59,42.334221,-71.079498,0,0,MS124
38,2018-02-07 03:20:00,42.333939,-71.079391,0,0,MS124
39,2018-02-07 03:20:01,42.333809,-71.07929200000001,0,0,MS124
40,2018-02-07 03:20:19,42.333012,-71.07991,202,0,MS142
41,2018-02-07 03:20:20,42.333038,-71.079613,316,3,MS168
42,2018-02-07 03:20:20,42.333012,-71.07991,211,0,MS142
43,2018-02-07 03:20:24,42.333061,-71.079674,316,0,MS168
44,2018-02-07 03:20:26,42.333031,-71.079918,332,4,MS142
45,2018-02-07 03:20:27,42.33358,-71.07914699999999,153,4,MS124
46,2018-02-07 03:20:35,42.3335,-71.07907900000001,66,0,MS124
47,2018-02-07 03:20:37,42.333079999999995,-71.080177,262,0,MS142
48,2018-02-07 03:20:44,42.333469,-71.07895699999999,40,6,MS124
49,2018-02-07 03:20:50,42.333079999999995,-71.07975,247,3,MS168
50,2018-02-07 03:20:32,42.333172,-71.079063,0,0,MS120
51,2018-02-07 03:20:44,42.333351,-71.079063,138,3,MS120
52,2018-02-07 03:21:04,42.334140999999995,-71.079849,301,3,MS124
53,2018-02-07 03:21:06,42.333079999999995,-71.07975,247,0,MS168
54,2018-02-07 03:21:14,42.332909,-71.079842,225,3,MS168
55,2018-02-07 03:21:18,42.33287,-71.079872,220,0,MS168
56,2018-02-07 03:21:22,42.333542,-71.08040600000001,136,6,MS124
57,2018-02-07 03:21:40,42.333259999999996,-71.080177,70,3,MS124
58,2018-02-07 03:21:41,42.333259999999996,-71.080177,70,0,MS124
59,2018-02-07 03:21:18,42.333752000000004,-71.079369,312,16,MS120
60,2018-02-07 03:21:26,42.33316,-71.07929200000001,158,0,MS109
61,2018-02-07 03:21:27,42.333389000000004,-71.079193,0,0,MS135
62,2018-02-07 03:21:30,42.33337,-71.079163,0,0,MS135
63,2018-02-07 03:21:40,42.333851,-71.080338,221,13,MS120
64,2018-02-07 03:21:41,42.333149,-71.079422,185,3,MS109
65,2018-02-07 03:21:59,42.33334,-71.080368,165,0,MS120
66,2018-02-07 03:22:02,42.33334,-71.080368,162,3,MS120
67,2018-02-07 03:22:09,42.33334,-71.080368,162,0,MS120
68,2018-02-07 03:22:18,42.333179,-71.080063,279,4,MS109
69,2018-02-07 03:22:23,42.333172,-71.080109,218,0,MS109
70,2018-02-07 03:22:24,42.333038,-71.07991,329,6,MS136
71,2018-02-07 03:22:39,42.333038,-71.080093,211,0,MS136
72,2018-02-07 03:22:48,42.333519,-71.080513,145,8,MS146
73,2018-02-07 03:23:06,42.333248,-71.08049,214,4,MS146
74,2018-02-07 03:23:12,42.33316,-71.08054399999999,182,0,MS146
75,2018-02-07 03:23:05,42.333228999999996,-71.079399,0,0,MS169
76,2018-02-07 03:23:53,42.333099,-71.079918,342,3,MS115
77,2018-02-07 03:24:11,42.333302,-71.080353,327,0,MS115
78,2018-02-07 03:24:17,42.333302,-71.079437,0,4,MS169
79,2018-02-07 03:24:24,42.333240999999994,-71.07946,211,0,MS169
80,2018-02-07 03:24:31,42.33313,-71.080368,86,4,MS146
81,2018-02-07 03:24:46,42.333221,-71.08017,324,0,MS146
82,2018-02-07 03:24:48,42.333199,-71.079468,216,6,MS169
83,2018-02-07 03:24:54,42.333099,-71.079437,0,0,MS128
84,2018-02-07 03:24:59,42.333511,-71.079178,0,0,MS130
85,2018-02-07 03:25:01,42.333092,-71.079483,255,1,MS128
86,2018-02-07 03:25:04,42.333221,-71.08017,54,3,MS146
87,2018-02-07 03:25:11,42.333,-71.079903,236,6,MS169
88,2018-02-07 03:25:13,42.333519,-71.07916999999999,0,6,MS130
89,2018-02-07 03:25:14,42.332958000000005,-71.07997900000001,231,0,MS169
90,2018-02-07 03:25:21,42.332951,-71.08000200000001,227,3,MS169
91,2018-02-07 03:25:21,42.333038,-71.07981099999999,233,3,MS128
92,2018-02-07 03:25:34,42.33321,-71.0802,54,0,MS146
93,2018-02-07 03:25:37,42.333110999999995,-71.079178,228,11,MS130
94,2018-02-07 03:25:39,42.332829,-71.079773,43,0,MS169
95,2018-02-07 03:25:49,42.333,-71.0802,68,0,MS128
96,2018-02-07 03:25:52,42.332741,-71.07975,290,0,MS130
97,2018-02-07 03:25:54,42.332747999999995,-71.07978100000001,300,3,MS130
98,2018-02-07 03:25:57,42.333012,-71.0802,54,3,MS128
99,2018-02-07 03:26:07,42.333012,-71.0802,51,0,MS128
